source,data,ts
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 564.09, ""energy_wh_delta"": 0.00078, ""ts"": ""2026-08-08T02:41:01.847302""}",2026-08-08T02:41:01.896100
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:01.847302""}",2026-08-08T02:41:01.903423
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.4, ""ts"": ""2026-08-08T02:41:01.847302""}",2026-08-08T02:41:01.911472
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 583.48, ""energy_wh_delta"": 0.00081, ""ts"": ""2026-08-08T02:41:06.856366""}",2026-08-08T02:41:06.861388
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 334.47, ""energy_wh_delta"": 0.00046, ""ts"": ""2026-08-08T02:41:06.856366""}",2026-08-08T02:41:06.861388
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:06.856366""}",2026-08-08T02:41:06.877010
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.9, ""ts"": ""2026-08-08T02:41:06.857370""}",2026-08-08T02:41:06.877010
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:11.857513""}",2026-08-08T02:41:11.858081
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:11.858081""}",2026-08-08T02:41:11.871156
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:11.858081""}",2026-08-08T02:41:11.871156
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.8, ""ts"": ""2026-08-08T02:41:11.858081""}",2026-08-08T02:41:11.891011
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:16.871368""}",2026-08-08T02:41:16.871368
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:16.871368""}",2026-08-08T02:41:16.871368
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:16.871368""}",2026-08-08T02:41:16.888523
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.9, ""ts"": ""2026-08-08T02:41:16.871368""}",2026-08-08T02:41:16.888523
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 645.81, ""energy_wh_delta"": 0.0009, ""ts"": ""2026-08-08T02:41:21.903171""}",2026-08-08T02:41:21.904503
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:21.904503""}",2026-08-08T02:41:21.930995
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:21.904503""}",2026-08-08T02:41:21.942866
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.3, ""ts"": ""2026-08-08T02:41:21.904503""}",2026-08-08T02:41:21.949847
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:26.908615""}",2026-08-08T02:41:26.912603
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:26.908615""}",2026-08-08T02:41:26.920582
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:26.909612""}",2026-08-08T02:41:26.930556
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -49.5, ""ts"": ""2026-08-08T02:41:26.909612""}",2026-08-08T02:41:26.941530
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:31.921966""}",2026-08-08T02:41:31.921966
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 355.1, ""energy_wh_delta"": 0.00049, ""ts"": ""2026-08-08T02:41:31.921966""}",2026-08-08T02:41:31.942327
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:31.921966""}",2026-08-08T02:41:31.957036
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.3, ""ts"": ""2026-08-08T02:41:31.921966""}",2026-08-08T02:41:31.957036
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:36.938771""}",2026-08-08T02:41:36.945698
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:36.939567""}",2026-08-08T02:41:36.956500
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:36.939667""}",2026-08-08T02:41:36.966522
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -58.2, ""ts"": ""2026-08-08T02:41:36.939667""}",2026-08-08T02:41:36.974497
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:41.955067""}",2026-08-08T02:41:41.959770
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:41.955577""}",2026-08-08T02:41:41.959770
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:41.955577""}",2026-08-08T02:41:41.972185
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -57.1, ""ts"": ""2026-08-08T02:41:41.955577""}",2026-08-08T02:41:41.972185
energy,"{""tile_id"": ""tile_1"", ""steps"": 2, ""power_mw"": 782.3, ""energy_wh_delta"": 0.00109, ""ts"": ""2026-08-08T02:41:46.971338""}",2026-08-08T02:41:46.971338
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 503.83, ""energy_wh_delta"": 0.0007, ""ts"": ""2026-08-08T02:41:46.971338""}",2026-08-08T02:41:46.986776
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:46.971338""}",2026-08-08T02:41:47.002397
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.2, ""ts"": ""2026-08-08T02:41:46.971338""}",2026-08-08T02:41:47.002397
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:51.973782""}",2026-08-08T02:41:51.991441
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:51.973782""}",2026-08-08T02:41:52.000417
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 375.16, ""energy_wh_delta"": 0.00052, ""ts"": ""2026-08-08T02:41:51.975777""}",2026-08-08T02:41:52.009332
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.6, ""ts"": ""2026-08-08T02:41:51.978285""}",2026-08-08T02:41:52.017762
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 294.86, ""energy_wh_delta"": 0.00041, ""ts"": ""2026-08-08T02:41:56.998163""}",2026-08-08T02:41:57.006198
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:56.999172""}",2026-08-08T02:41:57.024440
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:41:56.999172""}",2026-08-08T02:41:57.032246
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.7, ""ts"": ""2026-08-08T02:41:56.999172""}",2026-08-08T02:41:57.039926
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:02.000351""}",2026-08-08T02:42:02.007335
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:02.001351""}",2026-08-08T02:42:02.018304
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:02.003346""}",2026-08-08T02:42:02.026284
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.4, ""ts"": ""2026-08-08T02:42:02.003346""}",2026-08-08T02:42:02.037614
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:07.018820""}",2026-08-08T02:42:07.022816
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:07.018820""}",2026-08-08T02:42:07.031053
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:07.018820""}",2026-08-08T02:42:07.038033
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.4, ""ts"": ""2026-08-08T02:42:07.019824""}",2026-08-08T02:42:07.047721
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 359.47, ""energy_wh_delta"": 0.0005, ""ts"": ""2026-08-08T02:42:12.020614""}",2026-08-08T02:42:12.025417
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:12.020614""}",2026-08-08T02:42:12.033395
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:12.020614""}",2026-08-08T02:42:12.041374
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.3, ""ts"": ""2026-08-08T02:42:12.021432""}",2026-08-08T02:42:12.048601
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:17.024072""}",2026-08-08T02:42:17.029046
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:17.024072""}",2026-08-08T02:42:17.038021
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 437.81, ""energy_wh_delta"": 0.00061, ""ts"": ""2026-08-08T02:42:17.025057""}",2026-08-08T02:42:17.046998
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -57.4, ""ts"": ""2026-08-08T02:42:17.025057""}",2026-08-08T02:42:17.054976
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:22.031034""}",2026-08-08T02:42:22.041001
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:22.032025""}",2026-08-08T02:42:22.053963
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:22.032025""}",2026-08-08T02:42:22.066737
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.4, ""ts"": ""2026-08-08T02:42:22.033021""}",2026-08-08T02:42:22.077707
energy,"{""tile_id"": ""tile_1"", ""steps"": 2, ""power_mw"": 752.02, ""energy_wh_delta"": 0.00104, ""ts"": ""2026-08-08T02:42:27.035482""}",2026-08-08T02:42:27.040467
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:27.035482""}",2026-08-08T02:42:27.047454
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 451.63, ""energy_wh_delta"": 0.00063, ""ts"": ""2026-08-08T02:42:27.036478""}",2026-08-08T02:42:27.055427
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.6, ""ts"": ""2026-08-08T02:42:27.036478""}",2026-08-08T02:42:27.062409
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:32.040012""}",2026-08-08T02:42:32.046982
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 306.05, ""energy_wh_delta"": 0.00043, ""ts"": ""2026-08-08T02:42:32.040012""}",2026-08-08T02:42:32.059828
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:32.041438""}",2026-08-08T02:42:32.068774
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.7, ""ts"": ""2026-08-08T02:42:32.041438""}",2026-08-08T02:42:32.076738
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 577.08, ""energy_wh_delta"": 0.0008, ""ts"": ""2026-08-08T02:42:37.042768""}",2026-08-08T02:42:37.047201
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:37.042768""}",2026-08-08T02:42:37.053768
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:37.042768""}",2026-08-08T02:42:37.063451
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.9, ""ts"": ""2026-08-08T02:42:37.042768""}",2026-08-08T02:42:37.063928
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:42.056660""}",2026-08-08T02:42:42.071279
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:42.057809""}",2026-08-08T02:42:42.078314
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:42.057809""}",2026-08-08T02:42:42.098853
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -54.2, ""ts"": ""2026-08-08T02:42:42.057809""}",2026-08-08T02:42:42.109824
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 593.37, ""energy_wh_delta"": 0.00082, ""ts"": ""2026-08-08T02:42:47.074155""}",2026-08-08T02:42:47.074155
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:47.074155""}",2026-08-08T02:42:47.096870
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:47.074155""}",2026-08-08T02:42:47.097344
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.3, ""ts"": ""2026-08-08T02:42:47.074155""}",2026-08-08T02:42:47.106954
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:52.076615""}",2026-08-08T02:42:52.081706
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:52.076615""}",2026-08-08T02:42:52.081706
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:52.076615""}",2026-08-08T02:42:52.097347
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.9, ""ts"": ""2026-08-08T02:42:52.077625""}",2026-08-08T02:42:52.112970
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:57.091495""}",2026-08-08T02:42:57.097062
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:42:57.091495""}",2026-08-08T02:42:57.097062
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 509.87, ""energy_wh_delta"": 0.00071, ""ts"": ""2026-08-08T02:42:57.092353""}",2026-08-08T02:42:57.112720
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.5, ""ts"": ""2026-08-08T02:42:57.092353""}",2026-08-08T02:42:57.116256
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:02.104167""}",2026-08-08T02:43:02.110650
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:02.104167""}",2026-08-08T02:43:02.110650
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:02.104167""}",2026-08-08T02:43:02.123960
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.1, ""ts"": ""2026-08-08T02:43:02.104167""}",2026-08-08T02:43:02.123960
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:07.107425""}",2026-08-08T02:43:07.114018
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:07.107425""}",2026-08-08T02:43:07.124130
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:07.107425""}",2026-08-08T02:43:07.124130
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.0, ""ts"": ""2026-08-08T02:43:07.107425""}",2026-08-08T02:43:07.140700
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:12.123941""}",2026-08-08T02:43:12.134757
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:12.123941""}",2026-08-08T02:43:12.134757
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:12.123941""}",2026-08-08T02:43:12.150385
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.7, ""ts"": ""2026-08-08T02:43:12.123941""}",2026-08-08T02:43:12.156391
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:17.136071""}",2026-08-08T02:43:17.162021
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:17.136071""}",2026-08-08T02:43:17.171996
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:17.136071""}",2026-08-08T02:43:17.180681
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.8, ""ts"": ""2026-08-08T02:43:17.136071""}",2026-08-08T02:43:17.187663
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 366.64, ""energy_wh_delta"": 0.00051, ""ts"": ""2026-08-08T02:43:22.136734""}",2026-08-08T02:43:22.140886
energy,"{""tile_id"": ""tile_2"", ""steps"": 1, ""power_mw"": 403.21, ""energy_wh_delta"": 0.00056, ""ts"": ""2026-08-08T02:43:22.136734""}",2026-08-08T02:43:22.140886
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 397.96, ""energy_wh_delta"": 0.00055, ""ts"": ""2026-08-08T02:43:22.136734""}",2026-08-08T02:43:22.156514
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.4, ""ts"": ""2026-08-08T02:43:22.136734""}",2026-08-08T02:43:22.156514
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:27.146784""}",2026-08-08T02:43:27.153422
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:27.146784""}",2026-08-08T02:43:27.162396
energy,"{""tile_id"": ""tile_3"", ""steps"": 2, ""power_mw"": 861.21, ""energy_wh_delta"": 0.0012, ""ts"": ""2026-08-08T02:43:27.147739""}",2026-08-08T02:43:27.171373
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.7, ""ts"": ""2026-08-08T02:43:27.147739""}",2026-08-08T02:43:27.179916
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 394.34, ""energy_wh_delta"": 0.00055, ""ts"": ""2026-08-08T02:43:32.150766""}",2026-08-08T02:43:32.155658
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:32.150766""}",2026-08-08T02:43:32.163794
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:32.150766""}",2026-08-08T02:43:32.171750
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -55.9, ""ts"": ""2026-08-08T02:43:32.150766""}",2026-08-08T02:43:32.179791
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:37.157321""}",2026-08-08T02:43:37.167954
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:37.157321""}",2026-08-08T02:43:37.175023
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 608.96, ""energy_wh_delta"": 0.00085, ""ts"": ""2026-08-08T02:43:37.157321""}",2026-08-08T02:43:37.175023
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -57.0, ""ts"": ""2026-08-08T02:43:37.158340""}",2026-08-08T02:43:37.191672
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:42.171456""}",2026-08-08T02:43:42.187683
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:42.171456""}",2026-08-08T02:43:42.205632
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:42.172463""}",2026-08-08T02:43:42.219600
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -52.6, ""ts"": ""2026-08-08T02:43:42.172463""}",2026-08-08T02:43:42.228569
energy,"{""tile_id"": ""tile_1"", ""steps"": 1, ""power_mw"": 396.94, ""energy_wh_delta"": 0.00055, ""ts"": ""2026-08-08T02:43:47.180868""}",2026-08-08T02:43:47.188796
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:47.180868""}",2026-08-08T02:43:47.202759
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:47.181816""}",2026-08-08T02:43:47.211733
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.3, ""ts"": ""2026-08-08T02:43:47.182812""}",2026-08-08T02:43:47.220710
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:52.199332""}",2026-08-08T02:43:52.215288
energy,"{""tile_id"": ""tile_2"", ""steps"": 2, ""power_mw"": 821.66, ""energy_wh_delta"": 0.00114, ""ts"": ""2026-08-08T02:43:52.199332""}",2026-08-08T02:43:52.222270
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:52.199332""}",2026-08-08T02:43:52.228254
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -53.2, ""ts"": ""2026-08-08T02:43:52.199332""}",2026-08-08T02:43:52.235236
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:57.212952""}",2026-08-08T02:43:57.222220
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:43:57.213769""}",2026-08-08T02:43:57.236183
energy,"{""tile_id"": ""tile_3"", ""steps"": 1, ""power_mw"": 511.12, ""energy_wh_delta"": 0.00071, ""ts"": ""2026-08-08T02:43:57.213769""}",2026-08-08T02:43:57.251144
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.8, ""ts"": ""2026-08-08T02:43:57.214763""}",2026-08-08T02:43:57.260118
energy,"{""tile_id"": ""tile_1"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:44:02.229770""}",2026-08-08T02:44:02.233759
energy,"{""tile_id"": ""tile_2"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:44:02.229770""}",2026-08-08T02:44:02.239779
energy,"{""tile_id"": ""tile_3"", ""steps"": 0, ""power_mw"": 0.0, ""energy_wh_delta"": 0.0, ""ts"": ""2026-08-08T02:44:02.230774""}",2026-08-08T02:44:02.239779
rssi,"{""node_id"": ""corridor_node_1"", ""rssi"": -56.7, ""ts"": ""2026-08-08T02:44:02.230774""}",2026-08-08T02:44:02.255401
